Time_s,full_timbre_Hz,nicki_timbre_Hz,ariana_timbre_Hz
134.8511,61.481,61.481,0.0
135.17493,119.903,119.903,0.0
135.43016,65.5409999999999,65.5409999999999,0.0
135.93729,25.59,25.59,0.0
136.0868,18.628,18.628,0.0
136.2498,91.492,91.492,0.0
136.77126,-3.13699999999999,-3.13699999999999,0.0
137.22318,-194.577,-194.577,0.0
137.31718,-91.958,-91.958,0.0
138.38992,404.495999999999,404.495999999999,0.0
138.92432,0.344999999999974,0.344999999999974,0.0
139.09819,-25.842,-25.842,0.0
139.3245,273.438,273.438,0.0
139.45895,-84.16,-84.16,0.0
139.83002,131.635999999999,131.635999999999,0.0
140.00423,-98.534,-98.534,0.0
140.12634,42.011,42.011,0.0
140.52654,115.549999999999,115.549999999999,0.0
140.7532,-141.327,-141.327,0.0
141.08363,-34.345,-34.345,0.0
141.2776,-74.064,-74.064,0.0
141.41135,-17.797,-17.797,0.0
141.70586,-69.215,-69.215,0.0
141.9039,-52.148,-52.148,0.0
142.20625,-144.953,-144.953,0.0
142.40137,-232.756,-232.756,0.0
142.68105,-28.072,-28.072,0.0
142.80893,-46.099,-46.099,0.0
142.93501,68.568,68.568,0.0
143.0449,-49.714,-49.714,0.0
143.20898,-29.7619999999999,-29.7619999999999,0.0
143.5859,-38.717,-38.717,0.0
143.84898,-145.772,-145.772,0.0
144.82385,33.9289999999999,33.9289999999999,0.0
144.98563,-65.0489999999999,-65.0489999999999,0.0
145.3224,-152.495,-152.495,0.0
145.58295,-176.136,-176.136,0.0
145.76875,-184.222999999999,-184.222999999999,0.0
145.90245,-207.381,-207.381,0.0
146.31229,-107.945,-107.945,0.0
146.46054,195.694,195.694,0.0
146.96558,267.221999999999,267.221999999999,0.0
147.3366,12.838,12.838,0.0
147.44698,79.1329999999999,79.1329999999999,0.0
147.57483,24.95,24.95,0.0
147.8649,-67.7919999999999,-67.7919999999999,0.0
148.0381,-419.985,-419.985,0.0
148.10277,-12.421,-12.421,0.0
148.57819,-309.655,-309.655,0.0
148.90884,-196.799999999999,-196.799999999999,0.0
149.10562,7.82899999999999,7.82899999999999,0.0
149.63705,-222.045,-222.045,0.0
149.7917,-178.215,-178.215,0.0
149.88686,-153.295,-153.295,0.0
150.2546,-102.447,-102.447,0.0
150.70876,-97.6539999999999,-97.6539999999999,0.0
151.12328,-33.143,-33.143,0.0
151.24898,17.0909999999999,17.0909999999999,0.0
151.60417,24.086,24.086,0.0
152.13142,-245.641,-245.641,0.0
152.30934,-174.338,-174.338,0.0
152.42776,-101.679999999999,-101.679999999999,0.0
152.57751,17.493,17.493,0.0
152.67166,1.28199999999999,1.28199999999999,0.0
152.8643,-207.131,-207.131,0.0
153.13972,-234.141999999999,-234.141999999999,0.0
153.32362,-34.6459999999999,-34.6459999999999,0.0
153.91338,-44.89,-44.89,0.0
154.45392,-180.461,-180.461,0.0
154.84181,-67.3499999999999,-67.3499999999999,0.0
155.03397,128.496,128.496,0.0
155.185,8.542,8.542,0.0
155.52649,15.526,15.526,0.0
155.9862,-120.889,-120.889,0.0
156.12871,79.3959999999999,79.3959999999999,0.0
156.70563,21.1379999999999,21.1379999999999,0.0
157.53574,-190.426,-190.426,0.0
157.61919,-58.764,-58.764,0.0
157.85397,-19.563,-19.563,0.0
158.22644,-113.361,-113.361,0.0
158.86504,-35.547,-35.547,0.0
159.42177,-66.257,-66.257,0.0
159.81017,131.578,131.578,0.0
159.9283,-45.706,-45.706,0.0
160.39178,-135.714,-135.714,0.0
160.50835,-3.05,0.0,-3.05
160.75111,-226.439,0.0,-226.439
160.89362,-298.485,0.0,-298.485
160.97401,-26.645,0.0,-26.645
161.1517,-69.013,0.0,-69.013
161.62952,-85.0889999999999,0.0,-85.0889999999999
161.95891,192.353,0.0,192.353
162.23203,126.641999999999,0.0,126.641999999999
162.48776,-11.1239999999999,0.0,-11.1239999999999
163.01959,-177.688999999999,0.0,-177.688999999999
163.2074,-121.300999999999,0.0,-121.300999999999
163.46082,-188.072,0.0,-188.072
163.90845,-191.287,0.0,-191.287
164.079,237.457,0.0,237.457
164.32735,98.968,0.0,98.968
164.49002,229.780999999999,0.0,229.780999999999
164.65874,-64.6599999999999,0.0,-64.6599999999999
164.8215,-91.232,0.0,-91.232
164.98912,-115.97,0.0,-115.97
165.31175,-132.432,0.0,-132.432
165.52872,-104.242,0.0,-104.242
165.69188,-146.929,0.0,-146.929
165.78085,95.192,0.0,95.192
165.91782,41.3229999999999,0.0,41.3229999999999
166.24821,-13.321,0.0,-13.321
167.47043,-29.9489999999999,0.0,-29.9489999999999
167.71234,-73.0749999999999,0.0,-73.0749999999999
167.9161,-86.399,0.0,-86.399
168.16585,-41.719,0.0,-41.719
168.39156,68.9979999999999,0.0,68.9979999999999
168.81415,19.654,0.0,19.654
169.29729,-63.854,0.0,-63.854
169.47125,-255.909999999999,0.0,-255.909999999999
169.5321,-75.5779999999999,0.0,-75.5779999999999
170.55664,-86.166,0.0,-86.166
171.03755,-89.174,0.0,-89.174
171.60721,-174.087,0.0,-174.087
171.90785,113.566,0.0,113.566
172.29764,199.698,0.0,199.698
172.95396,105.278,0.0,105.278
173.19215,-231.282999999999,0.0,-231.282999999999
173.45364,1.25799999999999,0.0,1.25799999999999
173.9742,-72.057,0.0,-72.057
174.14381,-51.5039999999999,0.0,-51.5039999999999
174.23695,-97.4069999999999,0.0,-97.4069999999999
174.59686,-6.12800000000001,0.0,-6.12800000000001
175.10661,131.474,0.0,131.474
